timestamp,askPrice,bidPrice,askVolume,bidVolume
1517211228452,2873.43,2872.969,0.00157,0.00055
1517211229192,2873.43,2872.869,0.00157,0.00055
1517211236922,2873.43,2872.87,0.00157,0.00055
1517211236974,2873.43,2872.97,0.00157,0.00055
1517211238334,2873.43,2872.869,0.00157,0.00055
1517211238610,2873.43,2872.97,0.00157,0.00055
1517211240502,2873.43,2872.869,0.00157,0.00055
1517211241036,2873.43,2872.87,0.00204,0.00055
1517211244938,2873.43,2872.97,0.00157,0.00055
1517211245355,2873.43,2872.87,0.00157,0.00055
1517211245931,2873.43,2872.97,0.00157,0.00055
1517211247566,2873.43,2872.869,0.00157,0.00055
1517211248286,2873.43,2872.87,0.00204,0.00055
1517211248512,2873.43,2872.97,0.00157,0.00055
1517211248839,2873.43,2872.87,0.00157,0.00055
1517211248901,2873.43,2872.97,0.00157,0.00055
1517211249295,2873.43,2872.869,0.00157,0.00055
1517211249396,2873.43,2872.97,0.00157,0.00055
1517211251043,2873.43,2872.87,0.00157,0.00055
1517211254872,2873.43,2872.97,0.00157,0.00055
1517211258155,2873.43,2872.87,0.00157,0.00055
1517211258949,2873.43,2872.869,0.00157,0.00055
1517211261858,2873.43,2872.87,0.00157,0.00055
1517211261909,2873.43,2872.97,0.00157,0.00055
1517211268356,2873.43,2872.869,0.00157,0.00055
1517211269011,2873.43,2872.87,0.00204,0.00055
1517211297602,2873.43,2872.97,0.00157,0.00055
1517211303689,2873.43,2872.87,0.00157,0.00055
1517211303740,2873.43,2872.97,0.00157,0.00055
1517211335693,2873.43,2872.87,0.00157,0.00055
1517211336303,2873.43,2872.869,0.00157,0.00055
1517211359861,2873.43,2872.62,0.00204,0.00198
1517211360413,2873.43,2872.869,0.00157,0.00055
1517211389489,2873.43,2872.62,0.00204,0.00198
1517211389567,2873.43,2872.869,0.00157,0.00055
1517211422133,2873.431,2872.869,0.00047,0.00055
1517211453754,2873.431,2872.619,0.00047,0.00055
1517211453805,2873.281,2872.719,0.00047,0.00055
